live_julian.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
0.093	0.00610352	0.0830078	0.287781	0.00305176	
0.094	0.0115967	0.067749	0.285889	0.00274658	
0.095	0.015564	0.039978	0.283936	0.00274658	
0.096	0.0198364	0.015564	0.28186	0.00274658	
0.097	0.0210571	-0.0143433	0.279785	0.00244141	
0.098	0.0164795	-0.0442505	0.277649	0.00244141	
0.099	0.0109863	-0.0640869	0.275513	0.00213623	
0.1	0.00671387	-0.0784302	0.273315	0.00213623	
0.101	0.00457764	-0.0860596	0.271057	0.00183105	
0.102	0.00305176	-0.0878906	0.268799	0.00183105	
0.103	0.00305176	-0.0799561	0.266479	0.00152588	
0.104	-0.000915527	-0.0668335	0.264099	0.00152588	
0.105	-0.00549316	-0.038147	0.261658	0.00152588	
0.106	-0.0112915	-0.0152588	0.259216	0.0012207	
0.107	-0.0183105	0.0146484	0.256714	0.0012207	
0.108	-0.0219727	0.043335	0.254211	0.000915527	
0.109	-0.0222778	0.0622559	0.251709	0.000915527	
0.11	-0.022583	0.078125	0.249207	0.000915527	
0.111	-0.0244141	0.0866699	0.246643	0.000610352	
0.112	-0.022583	0.0900269	0.24408	0.000610352	
0.113	-0.0152588	0.085144	0.241455	0.000610352	
0.114	-0.00183105	0.0692749	0.23877	0.000305176	
0.115	-0.00274658	0.0415039	0.236084	0.000305176	
0.116	0	0.0177002	0.233337	0.000305176	
0.117	0.00976562	-0.0131226	0.230591	0	
0.118	0.0106812	-0.0405884	0.227844	0	
0.119	0.0100708	-0.0595093	0.225037	0	
0.12	0.00946045	-0.0753784	0.222229	0	
0.121	0.00457764	-0.0848389	0.21936	-0.000305176	
0.122	0.000305176	-0.0866699	0.216492	-0.000305176	
0.123	0.000915527	-0.0827026	0.213562	-0.000305176	
0.124	0.00183105	-0.0683594	0.210571	-0.000305176	
0.125	-0.000915527	-0.0396729	0.207581	-0.000610352	
0.126	0.000610352	-0.0158691	0.204529	-0.000610352	
0.127	-0.000305176	0.0125122	0.201416	-0.000610352	
0.128	-0.000610352	0.039978	0.198303	-0.000915527	
0.129	0.00274658	0.0564575	0.195129	-0.000915527	
0.13	0.00762939	0.0704956	0.191956	-0.000915527	
0.131	0.00793457	0.0793457	0.188782	-0.000915527	
0.132	0.00366211	0.0817871	0.185486	-0.0012207	
0.133	0.0012207	0.0784302	0.18219	-0.0012207	
0.134	-0.0012207	0.0653076	0.178894	-0.0012207	
0.135	-0.00305176	0.0369263	0.175537	-0.00152588	
0.136	-0.00701904	0.012207	0.172119	-0.00152588	
0.137	-0.010376	-0.0146484	0.168701	-0.00152588	
0.138	-0.010376	-0.0427246	0.165283	-0.00152588	
0.139	-0.00366211	-0.0622559	0.161804	-0.00152588	
0.14	0.00244141	-0.0753784	0.158386	-0.00183105	
0.141	0.00488281	-0.0842285	0.154846	-0.00183105	
0.142	0.0088501	-0.0857544	0.151367	-0.00183105	
0.143	0.00549316	-0.078125	0.147827	-0.00183105	
0.144	0.00244141	-0.0631714	0.144287	-0.00213623	
0.145	0.000915527	-0.0363159	0.140747	-0.00213623	
0.146	-0.000305176	-0.0125122	0.137207	-0.00213623	
0.147	0.00335693	0.0161743	0.133667	-0.00213623	
0.148	-0.000610352	0.0436401	0.130127	-0.00244141	
0.149	-0.00244141	0.0613403	0.126648	-0.00244141	
0.15	-0.00762939	0.0772095	0.123108	-0.00244141	
0.151	-0.0143433	0.0827026	0.119568	-0.00244141	
0.152	-0.0109863	0.0827026	0.116028	-0.00244141	
0.153	-0.00488281	0.078125	0.112427	-0.00274658	
0.154	-0.00610352	0.0631714	0.108887	-0.00274658	
0.155	-0.00366211	0.0341797	0.105286	-0.00274658	
0.156	0.00274658	0.00915527	0.101685	-0.00274658	
0.157	0.00915527	-0.0195312	0.0980835	-0.00305176	
0.158	0.0088501	-0.0485229	0.0945435	-0.00305176	
0.159	-0.0012207	-0.0674438	0.0909424	-0.00305176	
0.16	-0.000915527	-0.0836182	0.0874023	-0.00305176	
0.161	-0.000915527	-0.090332	0.0838623	-0.00305176	
0.162	-0.00518799	-0.0894165	0.0803223	-0.00335693	
0.163	-0.00488281	-0.0836182	0.0767822	-0.00335693	
0.164	-0.00335693	-0.0668335	0.0732422	-0.00335693	
0.165	0.00183105	-0.0372314	0.0697021	-0.00335693	
0.166	0.0128174	-0.0112915	0.0662231	-0.00335693	
0.167	0.0189209	0.0180054	0.0626831	-0.00366211	
0.168	0.0204468	0.0463867	0.0592041	-0.00366211	
0.169	0.0149536	0.0637817	0.0557251	-0.00366211	
0.17	0.012207	0.0765991	0.0522461	-0.00366211	
0.171	0.00915527	0.0836182	0.0487671	-0.00366211	
0.172	0.00396729	0.0842285	0.0453491	-0.00396729	
0.173	0.00305176	0.078125	0.0418701	-0.00396729	
0.174	0.00427246	0.0634766	0.0383911	-0.00396729	
0.175	-0.000305176	0.0357056	0.0349731	-0.00396729	
0.176	-0.00152588	0.0109863	0.0314941	-0.00427246	
0.177	-0.00518799	-0.0195312	0.0280762	-0.00427246	
0.178	-0.0112915	-0.0454712	0.0246582	-0.00427246	
0.179	-0.00762939	-0.0656128	0.0212402	-0.00427246	
0.18	-0.00457764	-0.0811768	0.0177612	-0.00427246	
0.181	-0.00244141	-0.0872803	0.0143433	-0.00457764	
0.182	-0.00518799	-0.0848389	0.0108643	-0.00457764	
0.183	-0.00335693	-0.0814819	0.00744629	-0.00457764	
0.184	-0.000915527	-0.0653076	0.00390625	-0.00457764	
0.185	0.00152588	-0.0366211	0.000427246	-0.00488281	
0.186	-0.0012207	-0.0125122	-0.00305176	-0.00488281	
0.187	-0.00305176	0.0134277	-0.00653076	-0.00488281	
0.188	-0.00579834	0.0421143	-0.00994873	-0.00488281	
0.189	-0.00488281	0.0628662	-0.0134277	-0.00518799	
0.19	-0.00244141	0.0793457	-0.0168457	-0.00518799	
0.191	-0.00274658	0.0848389	-0.0202637	-0.00518799	
0.192	-0.00579834	0.0848389	-0.0236206	-0.00518799	
0.193	0.000305176	0.078125	-0.0270386	-0.00518799	
0.194	0.00244141	0.0595093	-0.0303955	-0.00549316	
0.195	-0.000915527	0.0308228	-0.0337524	-0.00549316	
0.196	0.0112915	0.00610352	-0.0371094	-0.00549316	
0.197	0.00457764	-0.0219727	-0.0404053	-0.00549316	
0.198	-0.00457764	-0.0500488	-0.0436401	-0.00549316	
0.199	-0.00152588	-0.0686646	-0.046875	-0.00579834	
0.2	0.00274658	-0.0808716	-0.0500488	-0.00579834	
0.201	0.000305176	-0.088501	-0.0532227	-0.00579834	
0.202	0.00183105	-0.0900269	-0.0563354	-0.00579834	
0.203	0.00610352	-0.0842285	-0.0595093	-0.00579834	
0.204	0.00488281	-0.0689697	-0.0626221	-0.00579834	
0.205	0.00427246	-0.0375366	-0.0657349	-0.00610352	
0.206	0.00488281	-0.012207	-0.0688477	-0.00610352	
0.207	0.00183105	0.0183105	-0.0718994	-0.00610352	
0.208	-0.00640869	0.0469971	-0.0749512	-0.00610352	
0.209	-0.00549316	0.0665283	-0.0780029	-0.00610352	
0.21	-0.00213623	0.0814819	-0.0809937	-0.00610352	
0.211	-0.00610352	0.0894165	-0.0839844	-0.00640869	
0.212	-0.00640869	0.0872803	-0.0869751	-0.00640869	
0.213	-0.00274658	0.0808716	-0.0899048	-0.00640869	
0.214	-0.00366211	0.0643921	-0.0928955	-0.00640869	
0.215	-0.00183105	0.0357056	-0.0958862	-0.00671387	
