nothing.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
0.104	0.00701904	-0.00671387	-0.0630493	-0.108032	
0.105	0.0109863	-0.00366211	-0.0662231	-0.107727	
0.106	0.00762939	-0.00152588	-0.0691528	-0.107727	
0.107	0.00946045	-0.00671387	-0.0720215	-0.107422	
0.108	0.00762939	-0.00701904	-0.074707	-0.107117	
0.109	0.00976562	-0.000305176	-0.0772705	-0.106812	
0.11	0.00854492	-0.000610352	-0.0796509	-0.106506	
0.111	0.00793457	0	-0.0819092	-0.106201	
0.112	0.00457764	-0.00213623	-0.0839844	-0.105896	
0.113	-0.00274658	-0.00549316	-0.0859375	-0.105591	
0.114	-0.00610352	-0.00610352	-0.0877075	-0.10498	
0.115	-0.00244141	-0.00457764	-0.0892944	-0.104675	
0.116	0.0012207	-0.00305176	-0.0908203	-0.10437	
0.117	-0.00305176	-0.00305176	-0.0921631	-0.104065	
0.118	-0.00488281	-0.00183105	-0.0933228	-0.103455	
0.119	-0.00640869	-0.00823975	-0.0943604	-0.103149	
0.12	-0.00854492	-0.00671387	-0.0952759	-0.102844	
0.121	-0.00396729	0.00335693	-0.0960083	-0.102539	
0.122	-0.00549316	0.00152588	-0.0966187	-0.101929	
0.123	-0.00335693	-0.000305176	-0.0970459	-0.101624	
0.124	0.00335693	0.000305176	-0.0973511	-0.101318	
0.125	0.000610352	-0.000610352	-0.0974731	-0.100708	
0.126	0	-0.00335693	-0.0975342	-0.100403	
0.127	-0.00274658	-0.0088501	-0.0974121	-0.100098	
0.128	0.00244141	-0.00396729	-0.097229	-0.0994873	
0.129	0.00427246	-0.0012207	-0.0968628	-0.0991821	
0.13	0.000915527	0.00152588	-0.0963745	-0.098877	
0.131	0.00213623	0.000915527	-0.0957642	-0.0982666	
0.132	0.0012207	-0.0012207	-0.0950317	-0.0979614	
0.133	-0.00213623	-0.00335693	-0.0941772	-0.0976562	
0.134	0.00396729	-0.00274658	-0.0932617	-0.0970459	
0.135	0.00335693	-0.000305176	-0.0921631	-0.0967407	
0.136	-0.00335693	0.000305176	-0.0910645	-0.0961304	
0.137	-0.0115967	-0.00244141	-0.0898438	-0.0958252	
0.138	-0.00854492	-0.00213623	-0.088562	-0.0952148	
0.139	-0.0128174	-0.00244141	-0.0872192	-0.0949097	
0.14	-0.00946045	-0.00213623	-0.0858154	-0.0942993	
0.141	-0.00823975	-0.00366211	-0.0843506	-0.0939941	
0.142	-0.0112915	-0.00488281	-0.0827637	-0.0933838	
0.143	-0.00396729	0.00396729	-0.0811768	-0.0930786	
0.144	0.00183105	0.00701904	-0.0794678	-0.0924683	
0.145	-0.00274658	0.00671387	-0.0777588	-0.0921631	
0.146	-0.0106812	0.00152588	-0.0759888	-0.0915527	
0.147	-0.00488281	0.00457764	-0.0742188	-0.0912476	
0.148	-0.00183105	-0.00244141	-0.0723877	-0.0906372	
0.149	0.00213623	-0.0012207	-0.0704956	-0.090332	
0.15	0.00823975	0.000610352	-0.0686035	-0.0897217	
0.151	0.00915527	0.000305176	-0.0666504	-0.0894165	
0.152	0.00915527	-0.000305176	-0.0646362	-0.0888062	
0.153	0.0128174	0.00213623	-0.0626221	-0.0881958	
0.154	0.00244141	-0.000305176	-0.0606079	-0.0878906	
0.155	-0.00274658	-0.00183105	-0.0585327	-0.0872803	
0.156	0.00274658	0	-0.0563965	-0.0869751	
0.157	0.00274658	0.000610352	-0.0542603	-0.0863647	
0.158	-0.000610352	-0.00244141	-0.052063	-0.0860596	
0.159	-0.0012207	-0.000915527	-0.0498657	-0.0854492	
